,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
0,4,5,sep,mon,91.7,26.2,709.9,5.1,17.4,51,6.7,0.0,0
1,4,4,mar,fri,90.6,35.4,57.3,6.7,13.7,33,0.9,0.0,0
2,3,4,mar,fri,90.6,43.7,77.5,6.7,18.8,33,1.3,0.0,0
3,3,4,sep,sun,91.7,33.3,704.4,9.0,22.8,42,4.0,0.0,0
4,3,4,sep,mon,89.3,51.3,724.3,9.6,18.9,42,1.8,0.0,0
5,3,4,mar,tue,92.3,85.3,67.6,14.7,15.8,29,5.4,0.0,0
6,3,5,mar,tue,92.3,88.9,67.6,8.5,15.5,27,3.1,0.0,0
7,3,4,mar,sat,91.5,145.4,80.8,10.7,11.6,42,2.2,0.0,0
8,3,4,mar,sat,91.0,129.5,80.8,7.0,15.2,63,5.4,0.0,0
9,3,4,mar,mon,92.5,88.0,86.6,7.1,10.6,40,4.0,0.0,0
10,3,4,aug,thu,92.5,88.0,466.6,7.1,19.6,51,7.2,0.0,0
11,3,4,aug,mon,92.8,73.2,608.2,8.4,10.3,38,4.0,0.0,0
12,3,4,aug,mon,91.6,70.8,608.2,0.8,17.1,72,6.7,0.0,0
13,3,4,sep,sun,90.9,126.5,680.7,7.0,22.5,42,2.2,0.0,0
14,3,4,sep,tue,92.9,133.3,671.9,9.2,17.9,21,4.5,0.0,0
15,3,4,sep,fri,93.3,141.2,692.3,13.9,19.8,44,5.4,0.0,0
16,3,4,oct,sun,91.7,35.8,691.8,7.8,20.6,27,5.4,0.0,0
17,3,5,mar,mon,91.6,32.8,103.8,3.0,9.0,47,4.9,0.0,0
18,3,5,sep,fri,89.2,27.9,728.6,6.3,17.2,35,4.0,0.0,0
19,3,5,oct,wed,91.7,27.4,673.8,5.1,15.9,44,4.5,0.0,0
20,2,5,oct,sun,91.0,129.5,691.8,7.0,15.4,40,2.7,0.0,0
21,4,6,feb,sat,91.8,78.5,87.2,9.2,15.4,38,2.7,0.0,0
22,4,6,mar,mon,94.3,96.3,64.7,8.4,14.0,44,4.5,0.0,0
23,4,6,mar,sun,90.2,110.9,102.2,6.2,10.6,43,5.8,0.0,0
24,4,6,sep,thu,93.5,139.4,685.2,8.4,17.6,32,5.8,0.0,0
25,3,5,mar,tue,91.4,142.4,67.6,10.6,14.9,60,5.4,0.0,0
26,3,5,aug,sat,92.4,117.9,594.2,12.2,17.6,34,5.8,0.0,0
27,3,6,sep,sun,90.9,126.5,680.7,7.0,17.2,48,1.3,0.0,0
28,3,6,sep,mon,93.4,145.4,686.5,8.1,15.6,24,2.7,0.0,0
